verdict	cat	fix	tier	flags	manual	headword	reading	glossEn	llm_ko	stdict_def	manual_reason	category	classSource	band	id
o			5			環境庁	かんきょうちょう	Environment Agency	환경청; 일본의 행정부처의 하나;			3	default	0	1213310
o			5			荒木	あらき	logs in bark; rough wood; unseasoned timber; new lumber	거친 나무; 껍질이 붙은 나무; 생나무	황제가 국가를 통치하기 위한 계책.		3	llm	0	1281640
o			5			皇民党	こうみんとう	Imperialist Party	황민당; 일본의 정당 중 하나			3	default	0	1631310
o			5			悔泣	くやしなき	crying from vexation; tears of regret	분함에 우는 것; 후회			3	default	0	1200430
o			5			回転	かいてん	rotation; revolution; turn; spin	회전; 순환	빌려 온 물건을 돌려보냄.		3	llm	0	1199640
o			5			厚相	こうしょう	Welfare Minister	후생대신; 일본의 행정부의 하나인 후생성 장관(한국의 복지부 장관)	두둑하게 상을 줌. 또는 그 상.		3	llm	0	1275540
o			5			厚生年金	こうせいねんきん	welfare pension	후생 연금			3	default	0	1275520
o			5			厚生省	こうせいしょう	(former) Ministry of Health and Welfare	후생성; 일본의 행정부의 하나			3	default	0	1275500
o			5			与野党	よやとう	ruling and opposition parties; parties in and out of power	여당과 야당			3	default	0	1544880
o			5			両党	りょうとう	both (political) parties	양당			3	default	0	1553900
o			5			両面	りょうめん	both sides; two sides; double-sided	양면			3	default	0	1554030
o			5			両方	りょうほう	both; both sides; both parties	양쪽; 둘 다			3	default	0	1554010
o			5			両手	りょうて	both hands; both arms; ten	양손			3	default	0	1553660
o			5			両氏	りょうし	both persons	두 분			3	default	0	1553630
o			5			両院	りょういん	both houses of parliament; both upper and lower house	양원			3	default	0	1553410
o			5			両日	りょうじつ	both days; two days	양일; 이틀			3	default	0	1553950
o			5			両者	りょうしゃ	pair; the two; both persons; both things	양쪽; 두 사람			3	default	0	1553650
o			5			両親	りょうしん	parents; both parents	부모님			3	default	0	1602710
o			5			両国	りょうこく	both countries; Ryōgoku (area of Tokyo)	양국; (도쿄 지역명) 료고쿠			3	default	0	1553590
o			5			乗員	じょういん	crew member; crewman; crew	승무원	승려가 불상을 모시고 불도(佛道)를 닦으며 교법을 펴는 집.		3	llm	0	1355130
o			5			伝説	でんせつ	legend; folklore; tradition	전설; 민담	조선 시대에, 청소하고 휘장을 두르고 자리를 까는 따위의 일을 맡아 하던 종칠품 내명부. 또는 그 품계.		3	llm	0	1442100
o			5			内閣	ないかく	cabinet (of a government); ministry	내각	한 직선이 두 직선과 각각 서로 다른 점에서 만날 때 두 직선의 안쪽에 생기는 각.		3	llm	0	1457910
o			5			内部	ないぶ	interior; inside; internal	내부; 안쪽	그이의 아버지.		3	llm	0	1459030
o			5			内線	ないせん	phone extension; indoor wiring; inner line	내선	학춤에서, 안쪽으로 도는 춤사위.		3	llm	0	1458650
o			5			内需	ないじゅ	domestic demand	내수	둑 안이나 늪 따위에 고인 물.		3	llm	0	1458380
o			5			内容	ないよう	contents; content; substance; matter	내용; 내용물	안살림살이에 드는 비용. 또는 그 씀씀이.		3	llm	0	1459400
o			5			内政	ないせい	domestic affairs; internal administration	내정; 국내 정치	드러내지 않고 속으로 정함.		3	llm	0	1458600
o			5			内戦	ないせん	civil war	내전	‘불경’을 불경 아닌 책에 상대하여 이르는 말.		3	llm	0	1458640
o			5			内訳	うちわけ	itemization (of expenses); the items; breakdown; classification	내역; 항목별 분류	안쪽 구역.		3	llm	0	1459360
o			5			労連	ろうれん	labour union; labor union	노동조합 연맹의 줄임말			3	default	0	1560660
o			5			労使	ろうし	labour and management; labor and management	노동자와 사용자	이탈리아의 화가(1615~1673). 전쟁화와 풍경화를 잘 그렸으며, 특히 환상적인 산악 풍경으로 유명하다. 명쾌한 터치와 색채 처리는 인상파에 가까웠고, 희극 배우·풍자 시인으로도 활약하였다.		3	llm	0	1560330
o			5			労相	ろうしょう	Labor Minister	노동성 대신; 일본의 행정부 노동성의 장관			3	default	0	1916900
o			5			労組	ろうそ	labor union; labour union; trade union	노동조합	도미니카 연방에 있는 항구 도시. 카리브해에 있는 도미니카섬의 서남부에 있으며, 자유항으로 라임 열매, 바나나, 코프라 따위를 수출한다. 도미니카의 수도이다.		3	llm	0	1560350
o			5			労働	ろうどう	labor; labour; work; Labour Party	노동; 일			3	default	0	1606450
o			5			労働党	ろうどうとう	Labour Party; Labor Party	노동당			3	default	0	1560540
o			5			労働省	ろうどうしょう	Ministry of Labour (now Ministry of Health, Labour and Welfare)	노동성; 일본의 행정부의 하나			3	default	0	1560490
o			5			労働者	ろうどうしゃ	worker; (manual) laborer; labourer; blue-collar worker	노동자			3	default	0	1560470
o			5			労働組合	ろうどうくみあい	labor union; labour union; trade union	노동조합			3	default	0	1560510
o			5			効率	こうりつ	efficiency	효율			3	default	0	1275210
o			5			区内	くない	in a ward; within the ward; within the zone; within the district	구역 안	오래 견딤.		3	llm	0	1244210
