verdict	cat	fix	tier	flags	manual	headword	reading	glossEn	llm_ko	stdict_def	manual_reason	category	classSource	band	id
o			5			予算	よさん	estimate (of costs); budget	예산	예전에, ‘루산산’을 우리 한자음으로 읽은 이름.		3	llm	0	1543000
o			5			予想	よそう	expectation; anticipation; prediction; forecast	예상; 예측	여자같이 생긴 남자의 얼굴.		3	llm	0	1543130
o			5			予選	よせん	preliminary contest; qualifying round; trial; heat	예선; 예비 심사	선경(仙境)에 산다는 여자.		3	llm	0	1543110
o			5			予約	よやく	reservation; appointment; booking; advance order	예약; 예약하기	중국 송나라 때 루저우(汝州)에 있었던 가마. 엷은 청색 자기의 생산으로 유명하다.		3	llm	0	1543750
o			5			予定	よてい	plans; arrangement; schedule; program	예정; 계획	‘여정하다’의 어근.		3	llm	0	1543240
o			5			予知	よち	foresight; foreknowledge; intimation; premonition	예지; 예측	관여하여 앎.		3	llm	0	1543220
o			5			予測	よそく	prediction; estimation	예측; 추정	뒷간에 감.		3	llm	0	1543200
o			5			役目	やくめ	duty; role; function	역할; 임무	참나뭇과의 낙엽 활엽 교목. 높이는 10미터 정도이며, 잎은 어긋나고 긴 타원형으로 두꺼우며 뒷면에는 털이 나 있고 마른 뒤에도 겨우내 붙어 있다가 새싹이 나올 때 떨어진다. 봄에 황갈색의 잔꽃이 이삭 모양으로 늘어져 피고 열매는 2cm 정도의 갸름한 견과(堅果)로 10월에 익는다. 재목은 단단하여 침목, 선박재, 기구재 따위로 쓰고 나무껍질의 타닌은 물감 또는 가죽을 다루는 데 쓰며, 열매는 식용한다.		3	llm	0	1538080
o			5			役者	やくしゃ	actor; actress; man of wits; clever person	배우	점을 치는 사람.		3	llm	0	1538010
o			5			演説	えんぜつ	speech; address	연설	연석(筵席)에서 임금의 자문에 답하여 올리던 말.		3	llm	0	1176960
o			5			予断	よだん	prediction; prejudgment; presupposition; foregone conclusion	예단; 섣부른 판단	군대 편성 단위의 하나. 보통 2개 연대로 이루어지며 사단보다 규모가 작다.		3	llm	0	1543210
o			5			五分	ごぶ	half; 50%; 5 parts; 5%	반; 다섯 부분; 동률; 5푼			3	default	0	1268590
o			5			五十三次	ごじゅうさんつぎ	fifty-three stations on the Tōkaidō (Edo-Kyoto highway in Edo-period Japan)	도카이도 53차의 준말; 에도 시대의 53군데 역참			3	default	0	1268320
o			5			屋根	やね	roof	지붕			3	default	0	1182700
o			5			屋敷	やしき	residence; estate; grounds; premises	저택; 사유지	옥으로 만든 도끼.		3	llm	0	1605460
o			5			玉子	たまご	eggs; egg; spawn; roe	달걀; (어란) 알	옥으로 만든 자.		3	llm	0	1549140
o			5			王将	おうしょう	(senior player's) king; Ōshō (one of the eight major titles in professional shogi)	일본 장기에서 궁(왕장)	남의 할아버지를 높여 이르는 말.		3	llm	0	1181570
o			5			外務省	がいむしょう	Ministry of Foreign Affairs	외무성; 일본 행정부의 하나			3	default	0	1204140
o			5			冗談	じょうだん	joke; jest; funny story	농담; 장난	쓸데없이 하는 말.		3	llm	0	1355540
o			5			溶岩	ようがん	lava	용암	영화나 텔레비전에서, 화면이 처음에 밝았다가 점차 어두워지는 일.		3	llm	0	1546120
o			5			友達	ともだち	friend; companion	친구	머리 위에 툭툭 불거지게 나는 부스럼.		3	llm	0	1540170
o			5			郵貯	ゆうちょ	postal (post-office) savings (deposit)	우편 저금의 준말			3	default	0	1913850
o			5			郵政省	ゆうせいしょう	(former) Ministry of Posts and Telecommunications (now Ministry of Internal Affairs and Communications)	우정성; 일본의 행정부의 하나;			3	default	0	1542350
o			5			運輸省	うんゆしょう	Ministry of Transport	운수성; 일본의 행정부의 하나(한국의 건설 교통부)			3	default	0	1173060
o			5			院内	いんない	inside the House; inside the Diet; inside the hospital	병원 내부; 의회 내부; 원이 붙는 기관의 내부	정원(定員)의 안. 또는 일정한 수의 안.		3	llm	0	1613450
o			5			原発	げんぱつ	nuclear power plant; nuclear power generation; primary (e.g. primary immunodeficiency syndrome)	원자력 발전소; 원자력 발전			3	default	0	1262240
o			5			猶予	ゆうよ	postponement; deferment; extension (of time); hesitation	유예; 지연	‘유여하다’의 어근.		3	llm	0	1541740
